Source,Target,Weight
Charlotte,Mrs. Bennet,0.03856026785714286
Charlotte,Jane,0.02252886002886003
Charlotte,Louisa,0.005357142857142858
Charlotte,Mr. Hurst,0.005357142857142858
Charlotte,Lucases,0.0863095238095238
Charlotte,Miss Lucas,0.3863916256157635
Charlotte,Sir William,0.08442691029900332
Charlotte,Mrs. Gardiner,0.005357142857142858
Charlotte,Mr. Gardiner,0.005357142857142858
Charlotte,Mr. Phillips,0.005357142857142858
Charlotte,Mrs. Phillips,0.005357142857142858
Charlotte,Fitzwilliam,0.005357142857142858
Charlotte,Colonel Forster,0.14702380952380953
Charlotte,Mrs. Forster,0.005357142857142858
Charlotte,Mr. Jones,0.005357142857142858
Mr. Wickham,Mr. Darcy,0.02608885017421603
Mr. Wickham,Mr. Bingley,0.017065131837859113
Mr. Wickham,Elizabeth,0.02660714285714286
Mr. Wickham,Miss Bingley,0.005357142857142858
Mr. Wickham,Lydia,0.0650062656641604
Mr. Wickham,Lady Catherine,0.02403846153846154
Mr. Wickham,Mary,0.005357142857142858
Mr. Wickham,Georgiana,0.05009398496240601
Mr. Wickham,Collins,0.0263967468175389
Mr. Wickham,Charlotte,0.005357142857142858
Mr. Wickham,Mr. Wickham,0.005357142857142858
Mr. Wickham,Miss de Bourgh,0.005357142857142858
Mr. Wickham,Mr. Bennet,0.005357142857142858
Mr. Wickham,Mrs. Bennet,0.025279017857142858
Mr. Wickham,Jane,0.016804954304954305
Mr. Wickham,Louisa,0.005357142857142858
Mr. Wickham,Mr. Hurst,0.005357142857142858
Mr. Wickham,Lucases,0.005357142857142858
Mr. Wickham,Miss Lucas,0.005357142857142858
Mr. Wickham,Sir William,0.005357142857142858
Mr. Wickham,Mrs. Gardiner,0.031114718614718616
Mr. Wickham,Mr. Gardiner,0.04231366459627329
Mr. Wickham,Mr. Phillips,0.005357142857142858
Mr. Wickham,Mrs. Phillips,0.12126623376623374
Mr. Wickham,Fitzwilliam,0.005357142857142858
Mr. Wickham,Colonel Forster,0.07619047619047618
Mr. Wickham,Mrs. Forster,0.005357142857142858
Mr. Wickham,Mr. Jones,0.005357142857142858
Miss de Bourgh,Mr. Darcy,0.010540069686411151
Miss de Bourgh,Mr. Bingley,0.007698740653286108
Miss de Bourgh,Elizabeth,0.01353021978021978
Miss de Bourgh,Miss Bingley,0.00973858615611193
Miss de Bourgh,Lydia,0.005357142857142858
Miss de Bourgh,Lady Catherine,0.07074175824175824
Miss de Bourgh,Mary,0.014907704654895666
Miss de Bourgh,Georgiana,0.005357142857142858
Miss de Bourgh,Collins,0.02218882602545969
Miss de Bourgh,Charlotte,0.02575714285714286
Miss de Bourgh,Mr. Wickham,0.005357142857142858
Miss de Bourgh,Miss de Bourgh,0.005357142857142858
Miss de Bourgh,Mr. Bennet,0.005357142857142858
Miss de Bourgh,Mrs. Bennet,0.005357142857142858
Miss de Bourgh,Jane,0.005357142857142858
Miss de Bourgh,Louisa,0.005357142857142858
Miss de Bourgh,Mr. Hurst,0.005357142857142858
Miss de Bourgh,Lucases,0.005357142857142858
Miss de Bourgh,Miss Lucas,0.005357142857142858
Miss de Bourgh,Sir William,0.04489202657807309
Miss de Bourgh,Mrs. Gardiner,0.005357142857142858
Miss de Bourgh,Mr. Gardiner,0.005357142857142858
Miss de Bourgh,Mr. Phillips,0.005357142857142858
Miss de Bourgh,Mrs. Phillips,0.005357142857142858
Miss de Bourgh,Fitzwilliam,0.005357142857142858
Miss de Bourgh,Colonel Forster,0.005357142857142858
Miss de Bourgh,Mrs. Forster,0.005357142857142858
Miss de Bourgh,Mr. Jones,0.005357142857142858
Mr. Bennet,Mr. Darcy,0.010540069686411151
Mr. Bennet,Mr. Bingley,0.024089925226288864
Mr. Bennet,Elizabeth,0.015164835164835164
Mr. Bennet,Miss Bingley,0.005357142857142858
Mr. Bennet,Lydia,0.04263784461152882
Mr. Bennet,Lady Catherine,0.03337912087912088
Mr. Bennet,Mary,0.024458266452648477
Mr. Bennet,Georgiana,0.005357142857142858
Mr. Bennet,Collins,0.039020509193776524
Mr. Bennet,Charlotte,0.018957142857142856
Mr. Bennet,Mr. Wickham,0.005357142857142858
Mr. Bennet,Miss de Bourgh,0.005357142857142858
Mr. Bennet,Mr. Bennet,0.005357142857142858
Mr. Bennet,Mrs. Bennet,0.031919642857142855
Mr. Bennet,Jane,0.013943001443001445
Mr. Bennet,Louisa,0.005357142857142858
Mr. Bennet,Mr. Hurst,0.005357142857142858
Mr. Bennet,Lucases,0.005357142857142858
Mr. Bennet,Miss Lucas,0.005357142857142858
Mr. Bennet,Sir William,0.025124584717607975
Mr. Bennet,Mrs. Gardiner,0.031114718614718616
Mr. Bennet,Mr. Gardiner,0.07927018633540371
Mr. Bennet,Mr. Phillips,0.005357142857142858
Mr. Bennet,Mrs. Phillips,0.005357142857142858
Mr. Bennet,Fitzwilliam,0.005357142857142858
Mr. Bennet,Colonel Forster,0.005357142857142858
Mr. Bennet,Mrs. Forster,0.005357142857142858
Mr. Bennet,Mr. Jones,0.005357142857142858
Mrs. Bennet,Mr. Darcy,0.015722996515679443
Mrs. Bennet,Mr. Bingley,0.05453069657615112
Mrs. Bennet,Elizabeth,0.04785714285714286
Mrs. Bennet,Miss Bingley,0.005357142857142858
Mrs. Bennet,Lydia,0.09483082706766915
Mrs. Bennet,Lady Catherine,0.03337912087912088
Mrs. Bennet,Mary,0.043559390048154095
Mrs. Bennet,Georgiana,0.005357142857142858
Mrs. Bennet,Collins,0.06426803394625177
Mrs. Bennet,Charlotte,0.03935714285714286
Mrs. Bennet,Mr. Wickham,0.051720779220779216
Mrs. Bennet,Miss de Bourgh,0.005357142857142858
Mrs. Bennet,Mr. Bennet,0.07769756838905774
Mrs. Bennet,Mrs. Bennet,0.005357142857142858
Mrs. Bennet,Jane,0.05687229437229437
Mrs. Bennet,Louisa,0.005357142857142858
Mrs. Bennet,Mr. Hurst,0.005357142857142858
Mrs. Bennet,Lucases,0.0863095238095238
Mrs. Bennet,Miss Lucas,0.06397783251231527
Mrs. Bennet,Sir William,0.005357142857142858
Mrs. Bennet,Mrs. Gardiner,0.08262987012987012
Mrs. Bennet,Mr. Gardiner,0.005357142857142858
Mrs. Bennet,Mr. Phillips,0.005357142857142858
Mrs. Bennet,Mrs. Phillips,0.1599025974025974
Mrs. Bennet,Fitzwilliam,0.005357142857142858
Mrs. Bennet,Colonel Forster,0.005357142857142858
Mrs. Bennet,Mrs. Forster,0.0998015873015873
Mrs. Bennet,Mr. Jones,0.005357142857142858
Jane,Mr. Darcy,0.08569250871080139
Jane,Mr. Bingley,0.16224419519874067
Jane,Elizabeth,0.15083791208791208
Jane,Miss Bingley,0.13241899852724595
Jane,Lydia,0.07991854636591478
Jane,Lady Catherine,0.005357142857142858
Jane,Mary,0.09131219903691813
Jane,Georgiana,0.005357142857142858
Jane,Collins,0.06006011315417256
Jane,Charlotte,0.04615714285714286
Jane,Mr. Wickham,0.06717532467532467
Jane,Miss de Bourgh,0.005357142857142858
Jane,Mr. Bennet,0.059612462006079024
Jane,Mrs. Bennet,0.12488839285714284
Jane,Jane,0.005357142857142858
Jane,Louisa,0.005357142857142858
Jane,Mr. Hurst,0.11160714285714285
Jane,Lucases,0.12678571428571428
Jane,Miss Lucas,0.005357142857142858
Jane,Sir William,0.04489202657807309
Jane,Mrs. Gardiner,0.08262987012987012
Jane,Mr. Gardiner,0.15318322981366458
Jane,Mr. Phillips,0.005357142857142858
Jane,Mrs. Phillips,0.005357142857142858
Jane,Fitzwilliam,0.09328817733990147
Jane,Colonel Forster,0.005357142857142858
Jane,Mrs. Forster,0.005357142857142858
Jane,Mr. Jones,0.28869047619047616
Louisa,Mr. Darcy,0.007948606271777004
Louisa,Mr. Bingley,0.007698740653286108
Louisa,Elizabeth,0.005357142857142858
Louisa,Miss Bingley,0.005357142857142858
Louisa,Lydia,0.005357142857142858
Louisa,Lady Catherine,0.005357142857142858
Louisa,Mary,0.005357142857142858
Louisa,Georgiana,0.05009398496240601
Louisa,Collins,0.005357142857142858
Louisa,Charlotte,0.005357142857142858
Louisa,Mr. Wickham,0.005357142857142858
Louisa,Miss de Bourgh,0.005357142857142858
Louisa,Mr. Bennet,0.005357142857142858
Louisa,Mrs. Bennet,0.005357142857142858
Louisa,Jane,0.005357142857142858
Louisa,Louisa,0.005357142857142858
Louisa,Mr. Hurst,0.005357142857142858
Louisa,Lucases,0.005357142857142858
Louisa,Miss Lucas,0.005357142857142858
Louisa,Sir William,0.005357142857142858
Louisa,Mrs. Gardiner,0.005357142857142858
Louisa,Mr. Gardiner,0.005357142857142858
Louisa,Mr. Phillips,0.005357142857142858
Louisa,Mrs. Phillips,0.005357142857142858
Louisa,Fitzwilliam,0.005357142857142858
Louisa,Colonel Forster,0.005357142857142858
Louisa,Mrs. Forster,0.005357142857142858
Louisa,Mr. Jones,0.005357142857142858
Mr. Hurst,Mr. Darcy,0.018314459930313588
Mr. Hurst,Mr. Bingley,0.01472353404171586
Mr. Hurst,Elizabeth,0.010260989010989012
Mr. Hurst,Miss Bingley,0.014120029455081003
Mr. Hurst,Lydia,0.005357142857142858
Mr. Hurst,Lady Catherine,0.005357142857142858
Mr. Hurst,Mary,0.005357142857142858
Mr. Hurst,Georgiana,0.005357142857142858
Mr. Hurst,Collins,0.005357142857142858
Mr. Hurst,Charlotte,0.005357142857142858
Mr. Hurst,Mr. Wickham,0.005357142857142858
Mr. Hurst,Miss de Bourgh,0.005357142857142858
Mr. Hurst,Mr. Bennet,0.005357142857142858
Mr. Hurst,Mrs. Bennet,0.005357142857142858
Mr. Hurst,Jane,0.01108104858104858
Mr. Hurst,Louisa,0.005357142857142858
Mr. Hurst,Mr. Hurst,0.005357142857142858
Mr. Hurst,Lucases,0.005357142857142858
Mr. Hurst,Miss Lucas,0.005357142857142858
Mr. Hurst,Sir William,0.005357142857142858
Mr. Hurst,Mrs. Gardiner,0.005357142857142858
